Backgrounds,Signed up,Applied,Accepted,Approved,Realized,Finished,Completed,Gender,GPA,Funding,Campus
Economics,183,997,119,51,42,0,1,Female,3.75,No,UBC
Business administration,225,1228,119,48,35,0,1,Female,3.76,No,UBC
Arts,156,530,99,46,37,0,2,Female,1.31,No,UBC
Psychology,148,621,82,4,33,0,2,Male,0.39,No,UBC
Biology,106,307,61,31,27,0,1,Male,3.8,Yes,UBC
Mathematics,100,635,66,26,21,0,0,Female,3.11,No,UBC
Sociology,65,302,52,25,22,0,3,Male,0.4,No,UBC
Accounting,93,556,59,23,18,0,0,Male,3.87,No,UBC
Other,93,301,47,22,21,0,2,Female,3.36,Yes,UBC
Marketing,132,781,67,21,18,0,0,Male,1.08,Yes,UBC
Finance,83,520,48,19,13,0,2,Female,1.25,No,UBC
Political science,72,276,48,17,16,0,1,Male,1.8,No,UBC
Chemistry,88,260,37,17,13,0,0,Male,1.17,Yes,UBC
International relations,48,183,45,13,9,0,0,Male,2.53,No,UBC
Literature,48,124,24,13,11,0,0,Male,1.02,No,UBC
Physics,53,175,34,13,9,0,2,Male,3.39,No,UBC
Languages,79,453,42,11,8,0,0,Female,0.35,No,UBC
Computer sciences,45,133,18,10,9,0,0,Female,2.64,Yes,UBC
Geography,26,164,16,10,10,0,2,Male,4.3,No,UBC
Linguistics,25,119,23,10,8,0,1,Female,1.09,No,UBC
Philosophy,63,231,33,9,8,0,1,Male,4.12,Yes,UBC
Health Science,42,115,19,8,6,0,1,Female,2.05,No,UBC
History,22,100,13,7,6,0,0,Female,0.71,No,UBC
Education,28,287,15,7,5,0,0,Female,3.05,No,UBC
Earth Sciences,21,141,8,6,4,0,0,Male,0.25,No,UBC
Human Resources,29,54,16,6,3,0,1,Male,3.53,No,UBC
Communication & journalism,19,43,15,6,6,0,1,Female,2.12,No,UBC
Mechanical engineering,19,88,9,6,5,0,0,Female,3.4,No,UBC
Biomedical Science,10,104,13,4,3,0,2,Female,1.72,No,UBC
Media Arts,17,74,9,3,3,0,1,Female,0.61,No,UBC
Agriculture,14,32,9,3,1,0,0,Female,4.15,No,UBC
Law,23,148,10,3,3,0,0,Male,0.5,No,UBC
Ecology,12,44,11,3,1,0,0,Female,3.1,No,UBC
Entrepreneurship,9,117,6,3,1,0,0,Male,1.57,No,UBC
Sports,4,20,2,2,1,0,0,Male,2.29,No,UBC
Statistics,9,4,2,2,2,0,0,Female,4.03,No,UBC
Theatre,17,35,4,2,2,0,0,Male,0.87,No,UBC
Banking,8,53,3,2,1,0,0,Female,3.72,Yes,UBC
Chemical engineering,12,56,8,2,0,0,0,Male,1.02,No,UBC
Electrical engineering,6,20,3,2,2,0,0,Male,3.6,No,UBC
Public relations,4,6,1,1,1,0,0,Female,1.13,No,UBC
Social Work,6,22,4,1,1,0,0,Male,3.44,No,UBC
Systems and Computing Engineering,14,40,2,1,0,0,0,Female,4.13,Yes,UBC
Archeology,13,198,3,1,0,0,0,Female,0.7,Yes,UBC
Architecture,5,31,5,1,1,0,0,Male,0.36,Yes,UBC
Civil engineering,15,100,1,1,1,0,0,Male,3.15,No,UBC
Computer engineering,12,21,4,1,1,0,0,Female,0.11,No,UBC
Graphic design,9,116,5,1,1,0,0,Male,2.12,Yes,UBC
Religion,7,118,5,1,1,0,0,Male,4.01,No,UBC
Software development and programming,11,16,2,1,1,0,0,Male,2.1,No,UBC
Anthropology,11,43,1,0,1,0,0,Female,3.29,No,UBC
International Trade,8,21,7,0,0,0,0,Male,4.17,No,UBC
Logistics,8,20,3,0,0,0,0,Female,3.92,No,UBC
Music,9,15,1,0,0,0,0,Male,2.05,No,UBC
Environmental engineering,4,13,0,0,0,0,0,Male,1.67,No,UBC
Medicine,3,10,0,0,0,0,0,Male,0.45,No,UBC
Tourism & hotel management,3,5,0,0,0,0,0,Female,0.86,Yes,UBC
Design,5,4,1,0,0,0,0,Male,0.21,No,UBC
Telecommunication Engineering,1,2,0,0,0,0,0,Male,2.13,Yes,UBC
Electronics engineering,2,2,0,0,0,0,0,Female,2.05,No,UBC
Bioengineering,1,0,0,0,0,0,0,Male,1.94,Yes,UBC
Aerospace engineering,1,0,0,0,0,0,0,Male,3.9,Yes,UBC
Material engineering,1,0,0,0,0,0,0,Male,3.58,Yes,UBC
Automotive engineering,1,0,0,0,0,0,0,Male,2.88,No,UBC
