Backgrounds,Signed up,Applied,Accepted,Approved,Realized,Finished,Completed,Gender,Campus
Education,3,17,1,1,0,0,0,Female,UBC
Philosophy,2,1,1,1,1,0,0,Male,UBC
Psychology,8,28,1,1,0,0,0,Female,UBC
Health Science,3,4,3,1,0,0,0,Male,UBC
Business administration,11,31,2,0,0,0,0,Female,UBC
Arts,4,15,1,0,0,0,0,Female,UBC
Human Resources,2,15,1,0,0,0,0,Female,UBC
International relations,4,14,0,0,0,0,0,Male,UBC
Computer sciences,8,13,1,0,0,0,0,Male,UBC
Economics,9,11,0,0,0,0,0,Female,UBC
Biology,2,9,1,0,0,0,0,Male,UBC
Communication & journalism,2,9,1,0,0,0,0,Female,UBC
Graphic design,1,9,1,0,0,0,0,Female,UBC
Marketing,4,9,1,0,0,0,0,Male,UBC
Political science,1,9,0,0,0,0,0,Female,UBC
Tourism & hotel management,2,9,1,0,0,0,0,Female,UBC
Design,4,9,1,0,0,0,0,Male,UBC
Social Work,2,9,1,0,0,0,0,Female,UBC
Other,3,8,0,0,0,0,0,Male,UBC
Accounting,2,6,0,0,0,0,0,Male,UBC
Telecommunication Engineering,2,6,0,0,0,0,0,Female,UBC
Environmental engineering,1,2,0,0,0,0,0,Female,UBC
Computer sciences,2,14,0,0,0,0,0,Female,SFU
Chemical engineering,1,7,0,0,0,0,0,Male,SFU
Mathematics,1,6,0,0,0,0,0,Female,SFU
Electronics engineering,1,5,0,0,0,0,0,Female,SFU
Mechanical engineering,1,5,0,0,0,0,0,Male,SFU
Systems and Computing Engineering,1,5,0,0,0,0,0,Female,SFU
Business administration,6,2,0,0,0,0,0,Female,SFU
Media Arts,1,1,0,0,0,0,0,Female,SFU
Accounting,1,0,0,0,0,0,0,Female,SFU
Education,1,0,0,0,0,0,0,Male,SFU
Finance,1,0,0,0,0,0,0,Male,SFU
Graphic design,1,0,0,0,0,0,0,Female,SFU
International relations,1,0,0,0,0,0,0,Male,SFU
Law,1,0,0,0,0,0,0,Female,SFU
Linguistics,1,0,0,0,0,0,0,Female,SFU
Marketing,1,0,0,0,0,0,0,Male,SFU
Other,1,0,0,0,0,0,0,Female,SFU
Biomedical Science,1,0,0,0,0,0,0,Female,SFU
Entrepreneurship,1,0,0,0,0,0,0,Female,SFU
History,1,0,0,0,0,0,0,Female,SFU
Languages,1,0,0,0,0,0,0,Female,SFU
Sports,1,0,0,0,0,0,0,Male,SFU
